Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=dUm3ptTQr0Q,irrelevant,Education & Learning,,"crash course on data mining techniques, whiteboard teaching"
https://www.youtube.com/watch?v=3Jv0Fycjc-w,inappropriate,"Drinking, drugs, smoking",mild,"music video, shows the man smoking in a few scenes otherwise just singing"
https://www.youtube.com/watch?v=_7-3okF7t9U,excluded,,,religious content
https://www.youtube.com/watch?v=CzdklPLxCyU,irrelevant,Education & Learning,,"ad for an educational platform, all of it is in russian, shows features in text based animations"
https://www.youtube.com/watch?v=_MFBdUXYuZU,irrelevant,Sports & Athletics,,"ad for a sports club, using 3d animation, shows a figure playing football and scoring a goal"
https://www.youtube.com/watch?v=8wYSPQp8jNQ,child directed,Educational Content,,"ad for a reading story game on adapted mind, shows characters animated talking"
https://www.youtube.com/watch?v=9neRRdw6d0A,inappropriate,Sexual content,mild,"sikh song which shows sikh history, diff langauge not understood but shows a picture of 2 men kissing "
https://www.youtube.com/watch?v=eJzsVAlqj-A,irrelevant,Education & Learning,,ad where an animated character gives top tips for a cover letter for employment 
https://www.youtube.com/watch?v=JdksJNvS-Fo,irrelevant,Movies,,"trailer for a move serial, great seljuks, shows a man saving a lady from well"
https://www.youtube.com/watch?v=01Nk76yT5Lc,inaudible,Different Language,,"animated music video in korean/chinese, inaudible "
https://www.youtube.com/watch?v=EO5XT4UvpYw,irrelevant,Education & Learning,,"ad for an educational platform, all of it is in russian, shows features in text based animations"
https://www.youtube.com/watch?v=RgOsM1cx_mo,irrelevant,Travel & Adventure,,"ad fot a hotel, shows interiros, pool etc thru a family's exp"
https://www.youtube.com/watch?v=2JCtG_URvBI,irrelevant,Fashion,,"stylo shoes ad showing diff people wearing stylo shows, eid collection"
https://www.youtube.com/watch?v=-6dleqTJs0o,inappropriate,Offensive language,mild,"music video in tamil showing people dancing, lyricals sexual undertones"
https://www.youtube.com/watch?v=-5Nn9YiCFyA,irrelevant,Music & Performance,,"cover of an indian girl for anti-hero, in front of a chirstian cross, and on beach"
https://www.youtube.com/watch?v=WleLPIiHQTE,inaudible,Different Language,,"animated music video in another language, featuring cars, in another/turkish language so cant understand lyrics"
https://www.youtube.com/watch?v=8ZkE4jmX4YY,inaudible,Different Language,,"korean boyband performing a song, lyrics not undertsnadable"
https://www.youtube.com/watch?v=MHEjNMXlyco,irrelevant,Music & Performance,,news that shows becky g's acceptance speech for women in music billboard award
https://www.youtube.com/watch?v=6hXpVWnjZOs,inappropriate,Intimacy,mild,"sikh song which shows a sikh man singing in a village, involves some romance, cannot determine lyrics appropriateness bec lang"
https://www.youtube.com/watch?v=l3g4qjGFwNI,irrelevant,Travel & Adventure,,"ad for a hotel, shows features in text"
https://www.youtube.com/watch?v=Uo2XqNIyipI,irrelevant,Fashion,,"eid collection modelling through fam meeting, eastern clothes"
https://www.youtube.com/watch?v=gjwTkm84rZI,irrelevant,Education & Learning,,teacher solving math problem on board
https://www.youtube.com/watch?v=EJl7zwKsUuw,inappropriate,Interpersonal Violence,extreme,"movie trailer for veeram movie, shows violent fights and blood and gore"
https://www.youtube.com/watch?v=wHG44imps4g,irrelevant,Software,,ad for a report from a digital company that helps in enterprises giving the best consumer digital exp
https://www.youtube.com/watch?v=XXTtipYlb7c,irrelevant,Fashion,,"a man receives gift from family in ramzan, clothing eid collection ad"
