Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=1_FURuXWcMg,child directed,Play and Adventure,kids gun for playing,
https://www.youtube.com/watch?v=_uWky8aSjb0,irrelevant,Business & Entrepreneurship,business card providing service,
https://www.youtube.com/watch?v=a5MKiE78QXg,child directed,Fashion,children clothing,
https://www.youtube.com/watch?v=pOQK9KTlG6c,irrelevant,Business & Entrepreneurship,business card providing service,
https://www.youtube.com/watch?v=L5SGkW8BLbk,irrelevant,Travel & Adventure,theme park,
https://www.youtube.com/watch?v=bYlamYW-YqA,irrelevant,Personal Development,yt permium for meditation,
https://www.youtube.com/watch?v=8qzXrLPd1qY,child directed,Educational Content,educational games,
https://www.youtube.com/watch?v=zaYMnSkDzBs,irrelevant,Business & Entrepreneurship,consulting for multiple stuff,
https://www.youtube.com/watch?v=yGJOwCvijP4,irrelevant,Home and Lifestyle,"ikea, sofas",
https://www.youtube.com/watch?v=Y8q2CyHMykE,irrelevant,Home and Lifestyle,tables shop,
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,animated video with mathematical questions,
https://www.youtube.com/watch?v=gH3N09O5Xrw,inappropriate,Display of Weapons,display of gun and shot as well,Extreme
https://www.youtube.com/watch?v=dWibV_a852I,child directed,Non-violent video games,playstation chlid games,
https://www.youtube.com/watch?v=qMAAJ4oM628,irrelevant,Business & Entrepreneurship,"copywriting, business",
https://www.youtube.com/watch?v=_Ck1wyk1L6s,irrelevant,Finance & Legal,cards for business,
https://www.youtube.com/watch?v=vtMyHw9OpTE,irrelevant,Music & Performance,ghazal/poetry,
https://www.youtube.com/watch?v=mManLnHyyek,irrelevant,Software,web services,
https://www.youtube.com/watch?v=RwdmpjaydGc,irrelevant,Education & Learning,"college, semester, scholarships",
https://www.youtube.com/watch?v=QH606FX38ew,irrelevant,Music & Performance,band playing musical instruments,
https://www.youtube.com/watch?v=rXiRZ10lQWA,child directed,Toys,car toys,
https://www.youtube.com/watch?v=BT-M2pajr-4,irrelevant,Travel & Adventure,camping and music,
https://www.youtube.com/watch?v=vQ-7qWREWiQ,irrelevant,Gaming & Entertainment,card game,
https://www.youtube.com/watch?v=t3pSVPS7cw8,irrelevant,Education & Learning,grammarly,
https://www.youtube.com/watch?v=a52bPZ2e-0o,irrelevant,Science & Technology,automotive technology advancemets for companies aid,
https://www.youtube.com/watch?v=59V-vdRtA9k,irrelevant,Business & Entrepreneurship,business talk,
https://www.youtube.com/watch?v=xFevIAfHICk,irrelevant,Gaming & Entertainment,video game for 10+,
https://www.youtube.com/watch?v=BQzN22o_eyM,child directed,Toys,barbiw dolls,
https://www.youtube.com/watch?v=2oy0R39zIC8,irrelevant,Science & Technology,industrial protection against cyberthreats,
https://www.youtube.com/watch?v=4rA5ueFbGO0,irrelevant,Gaming & Entertainment,video game but not for kids <9years old,
https://www.youtube.com/watch?v=IUFEs3RL_XA,irrelevant,Tech & Gadgets,"pilot plugins, instrument for music producers",
https://www.youtube.com/watch?v=sk2YaUC5bFM,child directed,DIY & Arts and Crafts,make your own toy fluffies,
https://www.youtube.com/watch?v=fFmriZELQk0,irrelevant,Gaming & Entertainment,video game but not for kids <9years old,
https://www.youtube.com/watch?v=1_FURuXWcMg,child directed,Play and Adventure,kids gun for playing,
https://www.youtube.com/watch?v=YbMoadcRuzY,irrelevant,Software,software servie for voicemail transcription,
https://www.youtube.com/watch?v=oWgQL_v2Pn0,irrelevant,Cooking and Food,"pepsi max, alternative for diet coke etcc",
