Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=NiJ7FOISK6I,irrelevant,Software,,"animated, accounting software"
https://www.youtube.com/watch?v=DsnoQafo0HY,irrelevant,Education & Learning,,uni of pheonix ad
https://www.youtube.com/watch?v=oq2r5Ljy5q4,irrelevant,Tech & Gadgets,,network on demand service
https://www.youtube.com/watch?v=vKYEA7ZqC8c,irrelevant,Music & Performance,,yt music app
https://www.youtube.com/watch?v=ezzgO7FdjQw,irrelevant,DIY & Crafts,,anniversary gift vinyl poster
https://www.youtube.com/watch?v=aEIZBfWF_jA,irrelevant,Education & Learning,,grammarly go
https://www.youtube.com/watch?v=tuHktqLum1Y,irrelevant,Software,,hotar product support
https://www.youtube.com/watch?v=Rymbk5I_WlA,inappropriate,Scariness,Mild,"rock band, loud music"
https://www.youtube.com/watch?v=x14rlbcHGbw,irrelevant,Education & Learning,,toefl ad
https://www.youtube.com/watch?v=q84gjwOyQPo,child directed,Poems/Songs/Nursery Rhymes/Music,,monster high music video
https://www.youtube.com/watch?v=hYwsXoFeTh8,inappropriate,Scariness,Mild,"screams, ghost convo"
https://www.youtube.com/watch?v=SJMohopLW_g,irrelevant,Business & Entrepreneurship,,supply cahin challenegs
https://www.youtube.com/watch?v=XGoIgkw0wGM,irrelevant,Software,,business management software
https://www.youtube.com/watch?v=-l7BKQv_CIc,child directed,Educational Content,,reading stories app
https://www.youtube.com/watch?v=ctFtM6aTlGU,irrelevant,Education & Learning,,berklee academy student tesimonial
https://www.youtube.com/watch?v=zz2o7dckvA4,irrelevant,Personal Care & Beauty,,hair clipper
https://www.youtube.com/watch?v=bD36W_4C3dc,irrelevant,Tech & Gadgets,,network services ad
https://www.youtube.com/watch?v=4n0oTeVXOyk,irrelevant,Fashion,,chico's athleisure
https://www.youtube.com/watch?v=624i1CQm7GA,irrelevant,Autos & Vehicles,,hyundai ad
https://www.youtube.com/watch?v=AzFKFABTIA8,irrelevant,Music & Performance,,yt music premium
https://www.youtube.com/watch?v=ZhwgyZRy2W4,irrelevant,Home and Office,,pet grooming gloves
https://www.youtube.com/watch?v=38lATPmzHaU,irrelevant,Finance & Legal,,PNC bank
https://www.youtube.com/watch?v=2D4GqfNyzKQ,irrelevant,Autos & Vehicles,,car rentals
https://www.youtube.com/watch?v=-veqakjpiRU,irrelevant,Software,,voice over automation
https://www.youtube.com/watch?v=pkcJt2HPdGM,irrelevant,Autos & Vehicles,,autotrader for cars app
https://www.youtube.com/watch?v=tTiC_Gmg3Wc,inappropriate,unsuitable video games,Mild,playstation ad promoting adult oriented games
https://www.youtube.com/watch?v=PnVFviWFSnk,irrelevant,Machinery,,microgrids ad
https://www.youtube.com/watch?v=ZRbpmnFKBUY,child directed,Poems/Songs/Nursery Rhymes/Music,,nick no apologies mv
https://www.youtube.com/watch?v=Ne2qtEUcqO4,irrelevant,Fashion,,DSW dress guide
https://www.youtube.com/watch?v=ut9vFGg9S-E,irrelevant,Home and Office,,ashley sleep
https://www.youtube.com/watch?v=ig_sFw2XV9Q,irrelevant,Home and Office,,sofa ad
https://www.youtube.com/watch?v=pIWV6XOt8Go,child directed,Family friendly gaming,,minecraft camp enderwood
https://www.youtube.com/watch?v=Ea_t_TkoImg,child directed,Cartoons,,thomas and friends cartoon 
https://www.youtube.com/watch?v=6aZknrFd_s4,irrelevant,Travel & Adventure,,regent seven seas cruises
https://www.youtube.com/watch?v=prFicXqS1OU,irrelevant,Music & Performance,,yt music app
https://www.youtube.com/watch?v=lfOQu8x2slk,irrelevant,Autos & Vehicles,,car rentals
https://www.youtube.com/watch?v=gc9-4oq1idA,child directed,Movies,,elemental by pixar trailer
https://www.youtube.com/watch?v=6OymTXVO_Is,child directed,Toys,,mattel monster high toys
https://www.youtube.com/watch?v=AkFDrd8MOB0,irrelevant,Software,,wordpress hosting 
https://www.youtube.com/watch?v=NA0c7kUerwQ,irrelevant,Software,,e-commm product customization software
https://www.youtube.com/watch?v=moAgOJVQw28,child directed,Education & Learning,,grammarly
https://www.youtube.com/watch?v=100tfTCiVmc,irrelevant,Software,,vex robotics competition
https://www.youtube.com/watch?v=LfU83ZJrwyQ,irrelevant,Home and Office,,mattress ad
https://www.youtube.com/watch?v=x4iwq6cH-Bg,irrelevant,Travel & Adventure,,hotel ad: vacation homes
https://www.youtube.com/watch?v=d93BRjX4vOY,irrelevant,Education & Learning,,"ad for hebrew uni, animated"
https://www.youtube.com/watch?v=2L1s_Oiv2cg,irrelevant,Gaming & Entertainment,,"cast goes under the sea, bts"
https://www.youtube.com/watch?v=clIkpxWNmac,irrelevant,Gaming & Entertainment,,game show ad
https://www.youtube.com/watch?v=GeeCoGSPiX4,child directed,Storytelling,,ad for nicklodean
https://www.youtube.com/watch?v=JhMqc1aui_8,child directed,Family friendly gaming,,nintendo switch ad
