Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=ERIPTRnf_4M,inappropriate,Sexual content,Extreme,"sexual connotations, inappropriate dressing, smoking sheesha, blood , guns"
https://www.youtube.com/watch?v=vY8rDJcKZdA,inaudible,Music & Performance,,arabic song
https://www.youtube.com/watch?v=IQq00SM0R0g,irrelevant,Fashion,,Stylo eid collection
https://www.youtube.com/watch?v=mxADE7iJTQY,irrelevant,Fashion,,Top 5 Best White Sneakers for Men Under 3000₹ | Stylish and Affordable Picks
https://www.youtube.com/watch?v=VzWlUcoxvmY,inappropriate,"Drinking, drugs, smoking",Extreme,"smoking, club, weirdo dances, weird lyrics"
https://www.youtube.com/watch?v=G7U7vt9bGy8,irrelevant,Software,,Grammarly ad
https://www.youtube.com/watch?v=7-gLmYJTDtI,inappropriate,Sexual content,Extreme,"lyrics sexual, guy talks about smoking a joint, alcohol, club, inappropriate clothing"
https://www.youtube.com/watch?v=L5SGkW8BLbk,child directed,Play and Adventure,,Vist dubai ad with theme parks 
https://www.youtube.com/watch?v=NJYYseJfask,irrelevant,Music & Performance,,shows couple going on a date but nothing sensual or inappropriate
https://www.youtube.com/watch?v=nUZI9W80hps,irrelevant,Gaming & Entertainment,,Happy animation | Short film happy? short video animation
https://www.youtube.com/watch?v=72XuyxqeE_8,irrelevant,Music & Performance,,Punjabi song
https://www.youtube.com/watch?v=dpUO2FpSNT4,inappropriate,Display of weapons,Mild,"Army show, weapons"
https://www.youtube.com/watch?v=QnEcKGdht90,irrelevant,Fashion,,Vega Sri Gold & Diamonds
https://www.youtube.com/watch?v=VHFlPRdeSQ8,irrelevant,Music & Performance,,"Lazarus - ""Pale Blue Dot"" - OFFICIAL AUDIO"
https://www.youtube.com/watch?v=zSoJa94Iq1k,irrelevant,Software,,"Epidemic sound, sound effects and music to use for your videos"
https://www.youtube.com/watch?v=AT5KI_lPdN0,inappropriate,Display of weapons,,"scary men, weapons, smoking, fire"
https://www.youtube.com/watch?v=nvtkHxvvSH4,inaudible,Music & Performance,,"arabic song, audio only"
https://www.youtube.com/watch?v=NuKNRFi-sJw,inappropriate,Display of weapons,,"trailer for pakistani show, gun, slap, kidnapping"
https://www.youtube.com/watch?v=DsBBi3F8ki8,irrelevant,Education & Learning,,"Starting to learn Mandarin at three, Canadian girl Tian Tian has been learning Chinese for more than twelve years. She is willing to share with us the pride and happiness that Mandarin gives her."
https://www.youtube.com/watch?v=dkomGdeG6Dk,inappropriate,Intimacy,Mild,"Jay Wheeler - Trampa (Official Visualizer), cartoon of kissing"
https://www.youtube.com/watch?v=yZYuyoWc6ZI,irrelevant,Software,,"Checkmk - realtime monitoring software - powerful monitoring of networks, servers, clouds, containers and applications"
https://www.youtube.com/watch?v=H04TCxLTgvI,irrelevant,Home and Office,,Lemon Max dish soap
https://www.youtube.com/watch?v=IlgbeKXDWlQ,irrelevant,Personal Care & Beauty,,perfume ad by J. fragrances and cosmetics
