Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=jgS5nO7mOOo,irrelevant,Travel & Adventure,,london's top 10 tourist spots
https://www.youtube.com/watch?v=TjxskTJd9eM,irrelevant,Education & Learning,,ad for a robotics online tool
https://www.youtube.com/watch?v=NvYDEN1m_AQ,child directed,Storytelling,,"ad for bimi boo kids, a child directed yt channel"
https://www.youtube.com/watch?v=_axD_oF_PU8,irrelevant,Software,,"ad for an international virtual card, shows its use on e-comm apps"
https://www.youtube.com/watch?v=FobXWOeBLzQ,irrelevant,Music & Performance,,rap beat audio 
https://www.youtube.com/watch?v=G-uIluMU7Vw,inaudible,Different Language,,"arabic lyric video, can't undertsand lyrics"
https://www.youtube.com/watch?v=NhwFCVB6TJc,irrelevant,Software,,"ad for a video editing software, shwoing diff uses"
https://www.youtube.com/watch?v=zfm3B9lGJ7s,irrelevant,Travel & Adventure,,"ad for a tourist hotel, showing couple stay"
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,,ad for shopify management app
https://www.youtube.com/watch?v=4PG7Y2V7FRc,irrelevant,Business & Entrepreneurship,,ad for call center services
https://www.youtube.com/watch?v=NWNTcOd33Qs,irrelevant,Home and Office,,ad for interior of a house
https://www.youtube.com/watch?v=y8PtMj070_E,irrelevant,Home and Office,,ad for home design 
https://www.youtube.com/watch?v=_HNmDnfAfco,inaudible,Different Language,,"music video for an arabic song, lady dancing and singing, slightly sensual"
https://www.youtube.com/watch?v=pmJdFF_ahV0,inappropriate,"Drinking, drugs, smoking",Mild,"animated storyline follwoing issues w 3 diff couples, shows smoking and mature themes"
https://www.youtube.com/watch?v=qtp0SqLOEuE,irrelevant,Software,,tool for animation
https://www.youtube.com/watch?v=yHlLTV7E_8Q,irrelevant,Tech & Gadgets,,"ad for a smart watch, animated"
https://www.youtube.com/watch?v=B6dJ4CrEWKo,irrelevant,Tech & Gadgets,,ad for an internet plan
https://www.youtube.com/watch?v=0ZTJpZULYfY,irrelevant,Business & Entrepreneurship,,ad for an inusrance service
https://www.youtube.com/watch?v=gx3p8TfBl0o,inappropriate,Sexual content,Mild,"music video in arabic, a lot of consumerism promo, showing ferrari and some sensual content/dynamic between actors"
https://www.youtube.com/watch?v=adGpfVqKhnI,irrelevant,Education & Learning,,ad for a childre n's school
https://www.youtube.com/watch?v=c46Psa0YiuA,inappropriate,,Mild,"korean mudic video, a lot of dancing and a little sensual, shows someone sitting on a couch thats on fire"
https://www.youtube.com/watch?v=pMCk7IX19WQ,inappropriate,Sexual content,Moderate,punjabi song that has a lot of sexual content
https://www.youtube.com/watch?v=Un7HmxoS4FY,irrelevant,Education & Learning,,google ads guide presentation
https://www.youtube.com/watch?v=QsDLXpIH9Cg,inaudible,Different Language,,music video in another language (arabic)
https://www.youtube.com/watch?v=tiOk6kAjlJs,inappropriate,Sexual content,Mild,"flash mob with a lot of dancing, song has romantic lyrics"
https://www.youtube.com/watch?v=qYzYsaX-22c,inaudible,Different Language,,"music video w dancing, no overtly inapp content but lyrics not understandable"
https://www.youtube.com/watch?v=Zmf9ZdvtwhU,irrelevant,Education & Learning,,"lodz uni ad, shots of tech labs"
https://www.youtube.com/watch?v=gJffNs6nie0,irrelevant,Tech & Gadgets,,ad for mobile netwrok service
https://www.youtube.com/watch?v=BLWDuLrCHxU,inappropriate,Sexual content,Moderate,inappropriate lyrics (Yamenishika)
https://www.youtube.com/watch?v=6aHD_E8YfxE,irrelevant,Sports & Athletics,,"ad for a sportman, showing his journey"
https://www.youtube.com/watch?v=TrfdONdAC0U,irrelevant,Travel & Adventure,,ad for a hotel 
https://www.youtube.com/watch?v=-5n4A0ahSPc,irrelevant,Education & Learning,,british council ad
https://www.youtube.com/watch?v=Vdr4_LDtCss,inappropriate,Display of weapons,Extreme,"music video shows a lot of gunsviolence, smokig, also shows inappropriate clothing and sensual content"
https://www.youtube.com/watch?v=Aimd6ZOY3m0,irrelevant,Music & Performance,,music video dedicated to a competitive saiker 
https://www.youtube.com/watch?v=QJFc44JQO90,irrelevant,Autos & Vehicles,,ad for container shipping service
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,,ad for math game
https://www.youtube.com/watch?v=Mw6ytQMQGNI,inappropriate,"Drinking, drugs, smoking",Moderate,"shows drinking, smoking, has some violence in terms of gun pointing as well"
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,,ad for math game
https://www.youtube.com/watch?v=kl_KL4YVTmo,irrelevant,Parenting & Family,,ad for baby essentials in a department store
https://www.youtube.com/watch?v=EWIchJ39uK8,irrelevant,Home and Office,,ad for ithe interiror of a hotel
https://www.youtube.com/watch?v=ZelVyOCWqAU,inappropriate,Intimacy,Moderate,"shows romantic dynamic, and lryrics ni punjabi song"
