Video Link,Primary Tag,Secondary Tag,Description,Rating
https://www.youtube.com/watch?v=ApYnaPf814I,inappropriate,Sexual content,"sexual dance moves, inappropriate clothing",Extreme
https://www.youtube.com/watch?v=8QtJvG_dGcA,inappropriate,Gambling,display of casinos and chips,Moderate
https://www.youtube.com/watch?v=OFrKdSnItqQ,irrelevant,Personal Care & Beauty,dettol body wash,
https://www.youtube.com/watch?v=2sCZNLVQGns,inaudible,Different Language,song in a differnet language,
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,converting videos to animation/other content,
https://www.youtube.com/watch?v=QNXeE1ehBh0,irrelevant,Music & Performance,freestyle type beat,
https://www.youtube.com/watch?v=L1HkxUlsybs,child directed,Health and Hygiene for Kids,dettol soap kids ad,
https://www.youtube.com/watch?v=SBWjOBmqkuk,inappropriate,"Drinking, drugs, smoking","drinking, smoking, intimacy, ohysical violence, weapons",Extreme
https://www.youtube.com/watch?v=5gnG6-uSOLo,irrelevant,Home and Lifestyle,mosquito repellent,
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,"maths, animation, educaation, basic moral learning",
https://www.youtube.com/watch?v=AE9BTVpyuuQ,inappropriate,Display of weapons,huge sword,Extreme
https://www.youtube.com/watch?v=OVa0AzD4R80,inappropriate,Intimacy,"physical intimacy, relationships",Moderate
https://www.youtube.com/watch?v=P4BYDo8b6qM,irrelevant,Education & Learning,university,
https://www.youtube.com/watch?v=Q7zJ7sKKyVQ,irrelevant,Tech & Gadgets,difff laptops and functions,
https://www.youtube.com/watch?v=VHFlPRdeSQ8,irrelevant,Music & Performance,hip hop song,
https://www.youtube.com/watch?v=tCtPNIvBqjo,irrelevant,Machinery,equipment to cut through metal and other stuff,
https://www.youtube.com/watch?v=w7-2bU7MzYs,inappropriate,"Drinking, drugs, smoking",intimacy and lots of drinking,Extreme
https://www.youtube.com/watch?v=9eDd9rGftA4,inappropriate,Intimacy,slight physical and non physical intimacy,Mild
https://www.youtube.com/watch?v=RJjfACkbhv8,irrelevant,Personal Care & Beauty,face cream ad,
https://www.youtube.com/watch?v=sg1WqIvCcmA,irrelevant,Food and Cooking,biryani masala,
https://www.youtube.com/watch?v=RQXNXtuFL0Q,inappropriate,Intimacy,intimacy and physical violence in song ,Moderate
https://www.youtube.com/watch?v=u4I93RiV0w0,child directed,Play and Adventure,guess the logo game with a kid,
https://www.youtube.com/watch?v=JeNzJE-H9_w,inaudible,Different Language,animated cartoon in a differnet language,
https://www.youtube.com/watch?v=X2dDJ5NpCv0,irrelevant,Home and Lifestyle,"fridge, smart tv etc ad",
https://www.youtube.com/watch?v=B1z2h_tZZq0,inappropriate,Intimacy,"physical intimacy, relationships",Mild
https://www.youtube.com/watch?v=eoxbY6EDKlY,irrelevant,Home and Lifestyle,pools for home,
