Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=zXOoza3sxiw,inaudible,Different Language,,Music video in a different language
https://www.youtube.com/watch?v=Gym3vzboXlY,inappropriate,Physical Violence,Extreme,"Music video includes physical, interpersonal violence, fire and accidents showing blood and death"
https://www.youtube.com/watch?v=5ODxRNXxoWg,irrelevant,Education & Learning,,TOEFL Preparation ad for higher education (admissions in colleges and universities
https://www.youtube.com/watch?v=1w0kjsSqIBM,inappropriate,Interpersonal Violence,Moderate,Movie trailer showing interpersonal violence and injuries
https://www.youtube.com/watch?v=5WJpSAWtI_4,irrelevant,Education & Learning,,Online course academy for higher education
https://www.youtube.com/watch?v=dC51cBNNXDI,irrelevant,Education & Learning,,Software tool that helps with grammatical errors and clear writing
https://www.youtube.com/watch?v=XljKLCQgh54,irrelevant,Music & Performance,,Music video on motherhood
https://www.youtube.com/watch?v=ApYnaPf814I,inappropriate,Sexual content,Moderate,Music video includes intimacy and some degree of sexual content. Audio is in a different language so can't understand the lyrics
https://www.youtube.com/watch?v=8QtJvG_dGcA,inappropriate,Gambling,Mild,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=OFrKdSnItqQ,irrelevant,Personal Care & Beauty,,Dettol body wash ad
https://www.youtube.com/watch?v=2sCZNLVQGns,inaudible,Different Language,,musical performance but in a different language so can't understand lyrics
https://www.youtube.com/watch?v=0I5z4YcjBTU,irrelevant,Software,,Expression ap that converts your expressions to animations
https://www.youtube.com/watch?v=QNXeE1ehBh0,irrelevant,Music & Performance,,Instrumental rap music
https://www.youtube.com/watch?v=L1HkxUlsybs,irrelevant,Health and Wellness,,Dettol ad with a kid being sick for not using the soap
https://www.youtube.com/watch?v=SBWjOBmqkuk,inappropriate,Interpersonal Violence,Extreme,"Music video containing violence, abuse. drinking and offensive language as well as intimacy"
https://www.youtube.com/watch?v=5gnG6-uSOLo,irrelevant,Health and Wellness,,Insecticide spray
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,,App for kids for education and learning
https://www.youtube.com/watch?v=AE9BTVpyuuQ,inappropriate,Display of weapons,Extreme,Music video displaying weapons and self injury and blood
https://www.youtube.com/watch?v=OVa0AzD4R80,inappropriate,Intimacy,Mild,Music video contains intimacy and dance. It is in a different language so can't understand the lyrics
https://www.youtube.com/watch?v=P4BYDo8b6qM,irrelevant,Education & Learning,,University ad for higher education
https://www.youtube.com/watch?v=Q7zJ7sKKyVQ,irrelevant,Science & Technology,,A person talking about laptops and processors. The audio is in a different language so don't understand completely
https://www.youtube.com/watch?v=VHFlPRdeSQ8,irrelevant,Music & Performance,,Rap music
https://www.youtube.com/watch?v=tCtPNIvBqjo,irrelevant,Machinery,,Fiber laser cutting machine
https://www.youtube.com/watch?v=w7-2bU7MzYs,inappropriate,"Drinking, drugs, smoking",Moderate,Music video containing intimacy and constant drinking throughout the video
https://www.youtube.com/watch?v=9eDd9rGftA4,inappropriate,Intimacy,Mild,Music video containg intimacy
https://www.youtube.com/watch?v=RJjfACkbhv8,irrelevant,Personal Care & Beauty,,Glow and Lovely facewash ad
https://www.youtube.com/watch?v=sg1WqIvCcmA,irrelevant,Food and Cooking,,Cooking Biryani Masala ad
https://www.youtube.com/watch?v=RQXNXtuFL0Q,inappropriate,Physical Violence,Moderate,Music Video containing physical/interpersonal violence with a display of weapons
https://www.youtube.com/watch?v=u4I93RiV0w0,child directed,Storytelling,,A kid guessing different brand logos
https://www.youtube.com/watch?v=JeNzJE-H9_w,child directed,Cartoons,,Cartoon ad
https://www.youtube.com/watch?v=X2dDJ5NpCv0,irrelevant,Home and Lifestyle,,Home appliance sale ad
https://www.youtube.com/watch?v=B1z2h_tZZq0,inappropriate,Intimacy,Mild,Music video with a little intimacy
https://www.youtube.com/watch?v=eoxbY6EDKlY,irrelevant,Parenting & Family,,Ad for family pool
https://www.youtube.com/watch?v=CdOk8w8MXo8,irrelevant,Software,,Music software for production and editing beats using AI
https://www.youtube.com/watch?v=nmtn4cpg3lQ,irrelevant,Home and Lifestyle,,Regal Furniture ad for home
https://www.youtube.com/watch?v=bcpcUv4KIxU,inappropriate,Sexual content,Moderate,Music video with a intimacy and explicit lyrics
https://www.youtube.com/watch?v=pjK-olc0GFc,irrelevant,Tech & Gadgets,,Printer ad
https://www.youtube.com/watch?v=8M-tXjPGOB4,irrelevant,Music & Performance,,Music lyrical video
https://www.youtube.com/watch?v=9B4bicaxgLM,inappropriate,Gambling,Mild,Sports betting app. Ad was in a different language so could not understand the audio but upon searching the details about the app realilzed that it was a sports betting app
https://www.youtube.com/watch?v=kjCExokb8z0,inappropriate,Intimacy,Mild,Music video with intimacy
https://www.youtube.com/watch?v=8XxFPSUKWrM,irrelevant,Tech & Gadgets,,Telenor Network service ad
https://www.youtube.com/watch?v=si0FrZabezw,irrelevant,Music & Performance,,Rap music
https://www.youtube.com/watch?v=UbKoyCSNjyE,inappropriate,Sexual content,Extreme,Music video with sexual intimacy and display of weapons
https://www.youtube.com/watch?v=-6dleqTJs0o,irrelevant,Music & Performance,,Music video with dance
https://www.youtube.com/watch?v=ERkcPIVSnaI,irrelevant,Home and Lifestyle,,Furniture ad
https://www.youtube.com/watch?v=AFDe2rgqv08,inappropriate,Sexual content,Extreme,"Movie trailer with sexual content, physical violence and drinking"
https://www.youtube.com/watch?v=sTan9wyzNfw,irrelevant,Personal Care & Beauty,,Sanitary pads ad
https://www.youtube.com/watch?v=thb989XedXg,irrelevant,Tech & Gadgets,,USB drive with fingerprint touch for security
https://www.youtube.com/watch?v=67q59zxx8xE,inappropriate,Gambling,mild,"ad pertains to an online betting platform, 22bet; shown in the context of cricket"
https://www.youtube.com/watch?v=s8UBhncev2A,irrelevant,Social Issues & Activism,-,ad pertains to social activism for muslim kids
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=D25XFwlPxhU,irrelevant,Home and Lifestyle,-,ad pertains to a product that acts as an air refreshner for washrooms
https://www.youtube.com/watch?v=IqX7dda9w4I,child directed,DIY & Arts and Crafts,-,ad pertains to a cartoon that colors a sketch of the sun
https://www.youtube.com/watch?v=1Tz5ddp6_CU,child directed,Storytelling,-,"ad pertains to a youtuber (Adam, channel:URADAM ONLINE) who experiences different cultures and themes at a Global Village"
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,-,ad pertains to a promotion for Shopify Live Product Options app; which allows customers to customize products online
https://www.youtube.com/watch?v=AYiAJnzFILc,inappropriate,Physical Violence,extreme,"ad pertains to a Punjabi music video; shows gang members with guns, fistfights, shooting and drinking"
https://www.youtube.com/watch?v=V7vbNsPTJ2I,irrelevant,Tech & Gadgets,-,ad pertains to LED TVs
https://www.youtube.com/watch?v=SAEW80hDsOk,irrelevant,Home and Lifestyle,-,ad pertains to cleaning products by Lizol
https://www.youtube.com/watch?v=FOb6OV_FiLQ,irrelevant,Machinery,-,ad pertains to KAI Aluminium 
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=tqkOFNE4CdM,irrelevant,Business & Entrepreneurship,-,"ad pertains to a Bangladeshi textile company, Classical HOMETEX Ind. Ltd"
https://www.youtube.com/watch?v=OHiotm-WzYE,irrelevant,Fashion,-,ad pertains to Stylo's Eid shoe collection for women
https://www.youtube.com/watch?v=QBgRbQnp9Oo,inappropriate,Physical Violence,extreme,"ad pertains to a Punjabi music video; shows a woman dancing with a gun, a man harassing a woman, a person being shot and blood"
https://www.youtube.com/watch?v=lQWhcfM6V-k,irrelevant,Tech & Gadgets,-,"ad pertains to Sparx's smartphones, features a model showcasing them"
https://www.youtube.com/watch?v=rbqiDETBsyc,irrelevant,Education & Learning,-,ad pertains to the TOEFL Test for students
https://www.youtube.com/watch?v=CrKid-xco4E,irrelevant,Software,-,ad pertains to getting professional emails from Godaddy
https://www.youtube.com/watch?v=aXR2qwuRqek,irrelevant,Software,-,ad pertains to RAAST's digital cash service
https://www.youtube.com/watch?v=7uQTdlx1K60,inappropriate,Fight sports,mild,ad pertains to a promotion of Cambodia which shows their culture; a few frames showcasing martial arts contain physical violence unsuitable for children's viewing
https://www.youtube.com/watch?v=09XFWitL5ho,inappropriate,Offensive language,mild,ad pertains to a Punjabi song; lyrics talk about gangs and violence; glorifies violence
https://www.youtube.com/watch?v=egz8WFlk9r4,child directed,Storytelling,-,ad pertains to a child youtuber's vlog in which he plays with toys
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=gR1sFN15Ntk,irrelevant,Software,-,ad pertains to a B2B esourcing platform called Global Sources
https://www.youtube.com/watch?v=rutBKYlNfyM,irrelevant,Music & Performance,-,ad pertains to a Korean Pop music video
https://www.youtube.com/watch?v=G919it7dN6c,irrelevant,Tech & Gadgets,-,ad pertains to a lamp
https://www.youtube.com/watch?v=JcSojjdqGtE,irrelevant,Home and Lifestyle,-,ad pertains to Trix Bangladesh (a dishwashing liquid)
https://www.youtube.com/watch?v=22D6eXrC4Q0,inappropriate,Gambling,mild,"ad pertains to an online betting platform, 22bet"
https://www.youtube.com/watch?v=WOElP-BJ0ls,irrelevant,Music & Performance,-,ad pertains to a (choir-esque) music performance on stage
https://www.youtube.com/watch?v=IFJpD1Z73ac,inappropriate,Inappropriate Clothing,moderate,ad pertains to a movie trailer; a few frames show partial nudity and sexual content
https://www.youtube.com/watch?v=IX3_QifUVNc,child directed,Health and Hygiene for Kids,-,ad pertains to Dettol soap; shows a child playing and later using the soap while showering
https://www.youtube.com/watch?v=0d1mlqnRdyQ,inaudible,Different Language,-,ad is in a different language; cannot discern what it is about
https://www.youtube.com/watch?v=uPuvbkHiJuw,irrelevant,Home and Lifestyle,-,ad pertains to Walton Air Conditioners; shows family in home fed up with the warm temperature
https://www.youtube.com/watch?v=rlWRBexRHWE,irrelevant,Home and Lifestyle,-,ad pertains to cleaning products by Lizol
https://www.youtube.com/watch?v=6WU-iE6KkRU,irrelevant,Music & Performance,-,ad pertains to a music sequence (beats)
https://www.youtube.com/watch?v=PoUvDV-wRkk,inappropriate,Sexual content,moderate,ad pertains to a music video in Bhojpuri; a few frames show intimacy and sexual suggestiveness
https://www.youtube.com/watch?v=oabFMRhC4zU,inappropriate,Gambling,mild,"ad pertains to an online betting platform, 22bet"
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=MRbT7AcRd-o,inappropriate,Physical Violence,moderate,"ad pertains to a Punjabi music video (the song contains romantic themes), shows a gang member slapping a person repeatedly, along with a man harassing a woman"
https://www.youtube.com/watch?v=MJvrztRzljg,irrelevant,Travel & Adventure,-,ad pertains to a youtuber's (channel name: Sange SaNa) road trip in Texas
