Video Link,Primary Tag,Secondary Tag,Rating,Description
QahROQ0QOSw,inaudible,Different Language,,Unable to interpret what the ad is about
OCL0ew1n-6o,irrelevant,Fashion,,Ad showing a luxury watch. shows it in different lighting conditions and its features
c1D_6-RFhC8,inaudible,Different Language,,A day in a life style vlog. Unable to translate without missing content
i8K9tIf89JY,irrelevant,Travel & Adventure,,Ad about a travel site. Shows cats imagining how to travel
DGDrkv-3L0s,child directed,Toys,,Ad showing Lego toys based on the popular disney movie frozen
MFciThGsY4s,irrelevant,Finance & Legal,,Ad showing a money transfer company's system
bQES_F6c7c8,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
ohTGoh6wFOw,irrelevant,Home and Lifestyle,,Ad about a home contracting business
5d4y_3j3N_E,irrelevant,Fashion,,Ad showing a women's cloyhing catalogue
BTpKhsOV2Pw,inaudible,Different Language,,Unable to interpret what the ad is about
-Yzi707xf5Y,irrelevant,Travel & Adventure,,Ad showing a man enjoing nature
xis-u5vGsFs,irrelevant,Autos & Vehicles,,Ad showing features of Kia Sportage
b-_3iyF9RnA,inappropriate,Unsuitable Video Games,Mild,Ad showing two adults playing a horse riding game for kids
-oS66OR0DjQ,irrelevant,Autos & Vehicles,,Ad showing features of Kia Sportage
Q3IZ_njcyMc,irrelevant,Autos & Vehicles,,Ad showing features of Kia EV6
p1MaI8tYl50,irrelevant,Autos & Vehicles,,Ad showing features of Fiat's van
JwE0HDhUBNg,irrelevant,Tech & Gadgets,,Ad showing a woman explaining deals on various gaming peripherals
_y2CaMwwymE,child directed,Cartoons,,Cartoon ad promoting the LEGO Friends tv series
qhvwsEkd9iI,irrelevant,Business & Entrepreneurship,,Ad promoting a job in a company's IT department
xDTVvN1HpIA,irrelevant,Travel & Adventure,,Ad showing beach resorts in Croatia
HHLyLhaLybE,irrelevant,Software,,Ad showing move catalogues with Amazon Prime
c0JoY05GDww,irrelevant,Music & Performance,,A punjabi music video showing different cities and 3 men dancing
GW5kGGbXDrc,irrelevant,Machinery,,Ad showing industrial trucks and their features
gE6ohsQdiyk,irrelevant,Fashion,,Ad showing deals on womens clothes
CjVaMGx97qQ,inappropriate,"Drinking, drugs, smoking",Mild,Ad showing Medical cannibis (will have to see if appropriate or not)
-8hb56xP_Z8,irrelevant,Sports & Athletics,,Ad showing horseshoes being fitted for race horses
xsJoxAm31nQ,irrelevant,Autos & Vehicles,,Ad showing different features of a boat
H4KUH9keX3Y,irrelevant,Software,,Ad for a smart billing system for businesses
rFgBGGMv1kE,irrelevant,Autos & Vehicles,,Ad showing people riding bmw bikes across the country
l8_JVbBQGi8,irrelevant,Autos & Vehicles,,Ad for an offroad camping vehicle
uUiNpIctGow,irrelevant,Fashion,,Ad showing deals on womens clothes
BXGXV5N1eKE,irrelevant,Autos & Vehicles,,Ad for an offroad camping vehicle
3yqLnwf2ORE,irrelevant,Tech & Gadgets,,Ad for a vaccum robot cleaning up glitter from the floor
Afb1c6vDkmw,irrelevant,Music & Performance,,Ad about a music store and its catalogue of instruments
cwcgn1MMMOk,child directed,Toys,,Ad showing a collaboration between lego and Disney princesses 
qXciDz26gZQ,irrelevant,Autos & Vehicles,,Ad showing a car company's car being driven across a countryside
AO-PQu2uoGQ,irrelevant,Software,,software tool showing its featues to improve product discovery
88by4J-ufTY,irrelevant,Music & Performance,,Ad showing a kpop performance. Nothing immediately inappropriate
ayamCB0kINw,irrelevant,Home and Lifestyle,,Vlog of a woman trying out a home robot vaccum
hPU9FY0DATI,irrelevant,Software,,Ad for a calling software designed to be specifically for businesses
nOxZiav_pv8,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
qBq83xuwq4U,irrelevant,Health and Wellness,,Ad for retainers for teeth
IXf-qkSRER4,irrelevant,Travel & Adventure,,ad for a cruise company's offerings
8N_kmGoROQQ,child directed,Toys,,Ad for lego based toys
pNNEnG7yDjo,irrelevant,Education & Learning,,Cambridge university explaining data centric engineering
PK4YNR7jlsE,irrelevant,Machinery,,ad for a company that produces cnc milling services
5zl9griwpHM,irrelevant,Autos & Vehicles,,Ad for a hybrid vehicle
jNe1gIKrETg,irrelevant,Finance & Legal,,Ad showing a money transfer company's system
F4dLefOYUIU,irrelevant,Nature & Environment,,Ad for fertilizers for farmers and plant enthusiasts
BtrXmISKGuk,irrelevant,Autos & Vehicles,,Ad for an electric charging station that works even if it is raining
AFLRSFqcqiI,irrelevant,Tech & Gadgets,,Ad showing features of an E-Reader
NEjtT-18lwI,irrelevant,Autos & Vehicles,,Ad showing features of Kia EV6
3pLbcWC12Ow,irrelevant,Fashion,,Ad for a ring company with a model wearing different rings
UuVZrrO3wHc,irrelevant,Music & Performance,,Ad of a rock band. Music is appropriate according to spotify ratings too
lpD5S3gCDZU,irrelevant,Tech & Gadgets,,Ad for sales on home consumer technology
qI-Kwgk0hsQ,irrelevant,Autos & Vehicles,,Ad for a company that makes electric vehicle chargers
kpDl6K2uRb8,child directed,Play and Adventure,,Ad for a safari theme park
2VY2FWTUi-Y,irrelevant,Machinery,,Ad for industrial rubber parts
dh33LgiFZtc,irrelevant,Tech & Gadgets,,Ad for a gaming laptop which tells how its customers prefer it
Zh2mcgM-APM,irrelevant,Autos & Vehicles,,Ad showing features of Kia EV6
3-cAaUy9q5s,irrelevant,Business & Entrepreneurship,,Ad for a company that supplies warehouses
juv7jiH6Buk,irrelevant,Sports & Athletics,,Ad showing off different angles of a bike
0do7UojnECU,irrelevant,Autos & Vehicles,,ad for rubber tyres for cars and bikes
EPz4eo2HSbk,irrelevant,Software,,Ad for a subscription service of sorts
-koeCj6mPVo,child directed,Toys,,ad for lego based toy cars. ad shows variety of toys
SznZQ968H78,irrelevant,Autos & Vehicles,,Ad for Nissan's crossover suv in sweden
ZIlihJvmhVk,irrelevant,Software,,ad for a company that provides file format modification APIs
Cm-FBnVQ5yw,irrelevant,Software,,Ad for a subscription service of sorts
kiQJIb4dZ5I,child directed,Toys,,Ad for nerf guns for 5-6 year olds playing with family
H5bXx-L6koA,irrelevant,Autos & Vehicles,,Ad for Nissan's crossover suv in sweden showing its interior
KXLgI6h3FQs,child directed,Toys,,ad for action figures based on the show paw patrol
SHqsuu1i81c,irrelevant,Fashion,,Ad for a eastern fasion collection for women
Ml20zvP_uVI,irrelevant,Social Issues & Activism,,Ad for UN's sustainable development goals and interviews of young adults on how to reach them
kXz2t48t4zo,irrelevant,Software,,Ad for a company that provides data analyrics software
7K4CDOxK-f8,child directed,Cartoons,,Cartoon ad promoting the LEGO Friends tv series
u3G5zR3a-XQ,irrelevant,Home and Lifestyle,,Ad for a company that sells floor heating solutions
EQbT2Usi2iY,irrelevant,Software,,An ecommerce platform for getting items. shows a woman getting her stuff from there
GqdbqJUYA-E,irrelevant,Software,,Ad for a digital security system
fOdo1GkzZAk,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
1G-JMUbv8Os,child directed,Non-violent video games,,as showing a kids game where they can explore different worlds
Y4q5vI3pfHE,irrelevant,Fashion,,Ad showing a luxury watch. shows it in different lighting conditions and its features
VUXzKs2jGpw,irrelevant,Software,,Ad for an ecommerce platform for clothing
x87688smkAA,child directed,Cartoons,,Cartoon ad promoting the LEGO Dreamz show
uIpwvHXm0do,irrelevant,Nature & Environment,,Ad for gardening tools. shows plants being watered
fFtaNMPNv4k,irrelevant,Travel & Adventure,,Ad for a family vacation
k96F2_3WYY8,irrelevant,Autos & Vehicles,,Ad for mercedes' pickup van and its features
3sHJMZhJ9Ow,irrelevant,Autos & Vehicles,,Ad showing different car cleaning products and their appliation
eDbizobB4cY,irrelevant,Software,,Ad for shopify to manage business and associated analytics
5OinM-Qxwhw,irrelevant,Software,,Website that sells ATV acessories
-4okerAjycc,irrelevant,Autos & Vehicles,,Ad for a website that sells window wipers
VzLXl_cZjVQ,child directed,Toys,,Ad showing a collaboration between lego and Disney princesses 
vyn3ErKURCA,irrelevant,Autos & Vehicles,,Ad for a car company emphasising on green energy
1eZsBXISbTI,irrelevant,Software,,Ad showing features of a solution to manage business data
atE1zCE23e8,irrelevant,Travel & Adventure,,Ad showing a tourist resort with people doing different activities
yoseoGqKc8c,child directed,Play and Adventure,,ad for a trampoline park for kids
KmdBo7--oqQ,irrelevant,Machinery,,Ad for industrial lockers
S_5KRKd1ifo,irrelevant,Travel & Adventure,,ad for a website that provides good prices for tourists
xACunz5Owuc,irrelevant,Autos & Vehicles,,Ad for a car repair vlog showing open cars and repairs
Hxy0AEktdaQ,irrelevant,Software,,ad transition
PmKJQyA8IoY,irrelevant,Machinery,,Ad for industrial rubber parts
e08cYB9K97c,irrelevant,Business & Entrepreneurship,,ad for a company that assists in workplace management
Vh_4s8rY66c,inappropriate,"Drinking, drugs, smoking",Mild,Ad for an alcohol brand where people are drinking in a gathering.
MpFx9BWzrJ8,irrelevant,Software,,Ad for a software to track real estate lands
ggYOG2-m8Jg,irrelevant,Nature & Environment,,Ad for two people who were gardening
F_u203QGvWI,irrelevant,Autos & Vehicles,,Ad showing Kia's car lineup
NEliG_wYYic,irrelevant,Finance & Legal,,Ad for a bank showing off its awards
vXC8d9tfFBY,irrelevant,Fashion,,"Ad showing a sale on clothes at the store ""junkyard"""
TvCJk1CWiSE,irrelevant,Machinery,,Ad showing a laser cutter for industrial metalwork
yj6HCBFc0Hw,irrelevant,Food and Cooking,,Ad for a yoghurt aimed for older people
rAZ1ky2kzFY,irrelevant,Autos & Vehicles,,Ad for an electric charging solution
RTMiACyItPM,inappropriate,Unsuitable Video Games,Mild,"Ad for a tutorial on minecraft. While the ad is ok, the game is rated 10+ due to ""fantasy violence"""
nGfcfLt3Aro,irrelevant,Home and Lifestyle,,Ad for english sofas. ad shows a sofa and the advantages of the company
ERNCT_cYCdI,child directed,Cartoons,,ad for the cartoon series The Heroic Quest of the Valiant Prince Ivandoe
-F5YRmzWY-M,irrelevant,Sports & Athletics,,Ad showing off different angles of a bike
KMfRgxuhTzc,irrelevant,Software,,ad for a mobile payment solution called swish
OxFvMqEBmpQ,irrelevant,Tech & Gadgets,,Ad showing a MSI Laptop on which a graphic designer is making creative sketches
zlLaQSSV2bk,irrelevant,Health and Wellness,,Ad for a fitness related service
