Video Link,Primary Tag,Secondary Tag,Rating,Description
ZiG6_qOoWOc,irrelevant,Sports & Athletics,,A couple of men discussing sports in swedish
34u1sOLrgVo,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
-bBjmpW76H4,irrelevant,Home and Lifestyle,,Ad for interior paints
K63LtubqNKE,irrelevant,Home and Lifestyle,,slideshow with foreign text. about home furniture
BILwMq8heEg,irrelevant,Fashion,,Ad showing people skateboarding with a focus on watches
CptNKHajiMk,irrelevant,Autos & Vehicles,,Ad about the electric vehicle Hyundai Ioniq
oGdJGsmw3Tk,irrelevant,Sports & Athletics,,Ad showing off different angles of a bike
6_-rTRfH2FA,irrelevant,Software,,Software to carry our different document processing tasks
I_C1NBLvcgw,irrelevant,Software,,Ad for shopify to manage business and associated analytics
pQCEjKkSvdA,irrelevant,Finance & Legal,,Ad for a financial planning service
kUbFzG5dPa8,irrelevant,Education & Learning,,Ad for a company supporting higher education
Imlwc6AB5R8,irrelevant,Home and Lifestyle,,ad for a toolkit for home renovation
VxOpAILi20Q,irrelevant,Tech & Gadgets,,Ad for something related to filming. Not entirely sure
I9lMQ7jo3m0,child directed,Toys,,ad for lego based toy cars. ad shows variety of toys
1cDeAfoe8H8,irrelevant,Business & Entrepreneurship,,Ad for a business management utility
BoPjJn83yXQ,irrelevant,Travel & Adventure,,Ad for a resort. shows various facilities
S07Jw63zp-o,irrelevant,Autos & Vehicles,,Ad for a smart EV charging solution. Shows a man who puts his car on charge and gets a notification once done
_JVlq6z_aGo,irrelevant,Social Issues & Activism,,Ad for UN's sustainable development goals and interviews of young adults on how to reach them
z7HeRmSIA9o,irrelevant,Software,,Ad for a calling software designed to be specifically for businesses
oC8J7BnW0-0,child directed,Play and Adventure,,ad for a trampoline park for kids
ZelVyOCWqAU,inappropriate,Intimacy,Mild,Ad about a Punjabi Music video. Song and video has an underlying romantic tone. Nothing very explicit however
IFUn373eiXA,irrelevant,Home and Lifestyle,,Ad showing a slideshow. Google translate tells it is about home meshes
XnQmfKR1rJ4,irrelevant,Finance & Legal,,Ad about a service to sell gold with insurance for transacion
ygJN6flMcqI,irrelevant,Autos & Vehicles,,Ad for car seats from a store
F3dDHDF4ZTk,irrelevant,Tech & Gadgets,,Ad for a water soda maker
sFdKlSQKUXA,child directed,Play and Adventure,,Ad for a safari theme park
yLSOcKmWvAQ,irrelevant,Health and Wellness,,Ad for a tissue paper. Shows a man shielding a sneeze for another woman
iCKsGTbd4Dg,irrelevant,Sports & Athletics,,Ad for shoes for trekking
jZnmUV4eZew,inaudible,Different Language,,Ad for a music video. cannot make out the language or the content
xSoItx15LVE,irrelevant,Autos & Vehicles,,Ad for a yatch that shows its features
8iWD7UtQ0H4,irrelevant,Finance & Legal,,Ad for a money transfer service showing a girl playing a violin and a man sending money via an app
6__mSOfmq4E,excluded,,,Video unavailable 
rc4e3EPKXys,irrelevant,Autos & Vehicles,,Ad for a yatch that shows its features
